name,price,link
Black Bull Kyloe,29.00,https://www.whiskyshop.com/black-bull-kyloe
Black Bull 12 Year Old ,41.00,https://www.whiskyshop.com/black-bull-12-year-old
The Kinship Laphroaig 23 Year Old 1997,539.00,https://www.whiskyshop.com/laphroaig-1997-23-year-old-kinship
The Kinship Ardbeg 19 Year Old 2001,497.00,https://www.whiskyshop.com/ardbeg-2001-19-year-old-kinship
Velvet Fig Small Batch,45.00,https://www.whiskyshop.com/velvet-fig-small-batch
Laphroaig 16 Year Old ,92.00,https://www.whiskyshop.com/laphroaig-16-year-old
Balblair 2006 #78,191.00,https://www.whiskyshop.com/balblair-2006-78-the-w-club-exclusive
Gordon & MacPhail Smith's Glenlivet 1974 34 Years Old,670.00,https://www.whiskyshop.com/gordon-macphail-smith-s-glenlivet-1974-34-years-old
Glen Grant 1951 bottled in 2013 ,"3,750.00",https://www.whiskyshop.com/gordon-macphail-glen-grant-1951-60-year-old
Linkwood 1966 Private Collection,"6,500.00",https://www.whiskyshop.com/linkwood-1966-private-collection
Glen Scotia Dunnage Tasting Pack,52.00,https://www.whiskyshop.com/glen-scotia-dunnage-tasting-pack
Laphroaig 15 Year Old 2005 The Character of Islay Whisky Company,275.00,https://www.whiskyshop.com/laphroaig-15-year-old-2004-the-character-of-islay-whisky-company
Highland Single Malt #1 42 Year Old That Boutique-y Whisky Company,410.00,https://www.whiskyshop.com/highland-single-malt-1-42-year-old-that-boutique-y-whisky-company
Green Isle,33.00,https://www.whiskyshop.com/green-isle
